Title,UniqueId,InsightParent,IsParent
Le client suggère une période d'essai de quelques heures pour les candidats afin de disposer d'un vivier plus important pour des événements importants ou imprévus.,1702251931407x710356061804269000,1702253045801x435654440223909950,non
Le client demande à bénéficier des services de Randstad sous un accord cadre LISI/Randstad sans avoir à verser un acompte initial pour le recrutement d'intérimaires.,1702251937348x959033074829286800,,non
"La collaboratrice est appréciée pour son engagement, son agréabilité et sa bienveillance.",1702251949821x431112332613332560,1702251985024x318423011502271040,non
Son esprit d'entraide est reconnu comme un élément positif.,1702251951301x157295900981500700,1702251985024x318423011502271040,non
Les clients nécessitent une meilleure adéquation des compétences des candidatures avec leurs besoins spécifiques et un processus de sélection plus affiné.,1702251951781x190649374199281860,,oui
Elle a un souci de l'excellence dans le service client tout en respectant les processus établis.,1702251953545x542855612153003260,1702251795709x628710337044019200,non
"Les clients souhaitent que les candidatures envoyées soient strictement ciblées sur des ""ÉLECTRICIENS INDUSTRIELS"".",1702251965845x425897694575685360,1702251951781x190649374199281860,non
"Les clients demandent à ce que les candidatures incluent des informations personnelles telles que le nom de famille, le prénom, et le lieu d'habitation des candidats.",1702251968830x817711265625940600,1702252103696x231879594920525020,non
"Les clients rencontrent des difficultés à identifier les intérimaires en raison de descriptions inadéquates, empêchant une évaluation correcte.",1702251979913x935358189514364800,1702251684945x253736720701761120,non
Les clients valorisent la rapidité et la compétence des talents fournis par Randstad.,1702251983127x971940715578695000,,oui
L'esprit d'entraide et l'engagement de la collaboratrice sont perçus positivement.,1702251985024x318423011502271040,,oui
Les clients sont confrontés à des erreurs de placement de personnel dues à des malentendus sur le rôle spécifique recherché.,1702251987185x959120476516213100,1702251951781x190649374199281860,non
Les clients souffrent d'un manque de suivi et de réactivité concernant la confirmation et la gestion de missions critiques dans des délais courts.,1702251996509x755784939732803300,1702251684945x253736720701761120,non
Les clients apprécient les interactions brèves qui offrent également une opportunité de découvrir de nouvelles facettes de l'entreprise.,1702252006185x188605024249938000,1702251795709x628710337044019200,non
Les clients expriment le besoin que les consultants de l'entreprise se présentent de manière appropriée et engageante lors des visites.,1702252015557x651065502495871600,1702252049041x107571055471345820,non
Le client exprime une attente de concrétisation de la promesse de l'agence concernant la fourniture de personnel pour les marées.,1702252024560x978511112904771700,,non
Il existe une frustration liée au manque de coordination et de préavis avant les visites de la consultante en entreprise.,1702252031275x937607332909295700,1702252049041x107571055471345820,non
"Le client souhaite augmenter la fréquence et organiser de manière plus structurée les réunions avec les directeurs d'agence, incluant par exemple une visite annuelle de planification des besoins.",1702252038640x945069104190336100,1702251715216x764075287805836300,non
"Les clients demandent des interactions plus personnalisées et structurées, incluant une coordination améliorée et des rendez-vous planifiés pour les visites de consultants.",1702252049041x107571055471345820,,oui
Le client demande une mise à jour des habilitations nécessaires avant le démarrage de la prestation.,1702252049054x108614061865072380,1702251684945x253736720701761120,non
Le client propose l'organisation de permanences mensuelles pour faciliter la rencontre entre l'agence et les candidats en fonction des missions et postes à pourvoir.,1702252059341x634535384641279600,1702251715216x764075287805836300,non
Il y a une demande de création d'un document support regroupant toutes les questions relatives au profil recherché pour éviter les compléments d'information par mail et la perte de temps associée.,1702252070454x217655162545735700,1702252103696x231879594920525020,non
Les clients de l'entreprise ressentent une perte de temps lorsqu'ils doivent fournir des compléments d'information par mail après avoir déjà fourni des éléments nécessaires au profil recherché.,1702252073515x431839548882084700,1702251951781x190649374199281860,non
"Le client a ressenti un manque d'écoute et d'engagement de la part de son interlocutrice, notant son hésitation et l'absence de questions ciblées.",1702252079812x378106373895229950,1702252049041x107571055471345820,non
"Les clients sont insatisfaits lorsque les informations relatives aux obligations des intérimaires, comme une visite médicale, ne sont pas communiquées à l'avance par l'entreprise.",1702252094015x119242993736255140,1702251684358x144572203376458500,non
Le client a apprécié le don de calendrier 2024 lors de l'entretien.,1702252100088x579154789213341300,1702251787742x986195353747684200,non
"Les clients veulent un processus de présélection plus structuré et informatif, incluant des documents complets et détaillés, pour optimiser le temps et l'efficacité du recrutement.",1702252103696x231879594920525020,,oui
Il serait plus pratique d'ajouter un lien direct vers le site de Randstad dans les emails reçus pour simplifier la validation et la saisie des pointages.,1702252114317x304589722058803650,1702252438992x169278491846565080,non
Les clients constatent un manque d'espace pour accueillir les bénéficiaires en entretien.,1702252120054x811984914321011800,1702252154669x253238984676430700,non
"Les clients signalent un manque de personnel en agence, résultant en des interruptions pendant les entretiens à cause de la nécessité pour les consultants de répondre aux appels téléphoniques.",1702252127044x292083578731585400,1702251653260x739912670275253900,non
Il faut améliorer la communication avec les intérimaires en leur fournissant des informations pratiques telles que le numéro de téléphone des contacts sur site.,1702252132486x976356849948443000,1702251684358x144572203376458500,non
Le client souhaite recevoir les contrats des anciennes stagiaires avant leur arrivée.,1702252138945x110948005402424780,1702252103696x231879594920525020,non
"Le client évoque une expérience négative avec un représentant de l'entreprise, trouvant son comportement insultant, ce qui pourrait nuire à la réputation de l'entreprise et mener à des actions en justice.",1702252145245x206066435998107260,1702251653260x739912670275253900,non
"Le client indique qu'un point de douleur est le manque de concentration et de mémorisation des tâches de l'intérimaire, qui nuit à son efficacité le jour suivant.",1702252154257x611372372598894600,1702252363115x692199679304415000,non
"Les clients signalent un manque d'espace pour les entretiens et un manque de personnel en agence perturbant les entretiens, révélant des problèmes opérationnels dans la gestion des interactions client.",1702252154669x253238984676430700,,oui
Le client suggère que l'intérimaire devrait anticiper la mise en place des tâches la veille pour être plus efficace.,1702252157319x471137485373796160,1702252191254x576390922579181440,non
La réactivité de l'agence et la correspondance du profil du candidat avec les besoins spécifiques du client sont hautement appréciées.,1702252174308x875169781308812700,1702252213853x372447263724983200,non
Le client est satisfait de la conformité de la mission et de l'intérimaire avec ses attentes.,1702252187391x278311946386748960,1702252224128x750204495899262600,non
"Le client reconnaît l'efficacité et le professionnalisme de l'intérimaire, suggérant même une anticipation des tâches pour une performance accrue.",1702252191254x576390922579181440,,oui
Les clients éprouvent des difficultés à valider les missions terminées en raison de l'absence d'accès à la plateforme.,1702252192908x952947766248785300,1702252963679x783964162467023500,non
Le client éprouve de la frustration due à l'attente d'un retour concernant une demande de poste spécifique qui n'a pas encore été satisfaite.,1702252204440x652035922905104900,1702251951781x190649374199281860,non
Les clients reconnaissent la valeur des services de Randstad une fois le profil adéquat identifié et la mission remplie malgré des difficultés initiales de ciblage.,1702252210597x461607397788190900,,oui
Les clients valorisent fortement la capacité de l'agence à répondre rapidement avec des candidats dont les compétences correspondent précisément à leurs exigences.,1702252213853x372447263724983200,,oui
Le client apprécie particulièrement la qualité de l'écoute et l'excellence de l'échange lors de la visite de la conseillère de Randstad à leur entreprise.,1702252214294x752073064066680600,1702251795709x628710337044019200,non
Le client demande un retour plus détaillé sur des profils confirmés indépendamment de la demande directe auprès du service d'exploitation.,1702252223653x192821803661756380,1702252257155x634012913116756000,non
Le client est très satisfait de la conformité et de l'exécution des tâches de l'intérimaire en lien avec ses attentes.,1702252224128x750204495899262600,,oui
Le client exprime une nouvelle demande pour une plus grande quantité de profils compétents similaires à celui apprécié.,1702252232019x469599621467148740,1702252266394x212466413272064600,non
Les clients expriment leur plaisir à interagir avec une équipe dynamique et professionnelle.,1702252237929x731931603384710500,1702251795709x628710337044019200,non
Le client a rencontré des difficultés pour affiner le profil recherché mais a finalement considéré l'expérience comme une réussite une fois le profil adéquat trouvé et la mission réalisée.,1702252244999x341403231036203400,1702252210597x461607397788190900,non
"Les clients désirent des évaluations plus poussées des intérimaires avant leur placement, y compris des feedbacks détaillés et des tests de compétences.",1702252257155x634012913116756000,,oui
Un point de douleur est lié à l'impact significatif sur l'entreprise dû à un intérimaire incompétent et au retard important qui en résulte un travail non fini.,1702252264033x542987241257014900,1702251731309x712554068145600400,non
Le client demande un accroissement et une diversification des profils compétents pour répondre à des besoins spécifiques et urgents.,1702252266394x212466413272064600,,oui
"Les clients sont impressionnés par le professionnalisme, la classe et l'élégance des jeunes conseillères de l'entreprise.",1702252272312x247760539311131300,1702251795709x628710337044019200,non
Le problème de ponctualité des intérimaires et de difficultés à trouver le chemin de l'entreprise est un point de frustration pour les clients.,1702252279832x707746448814844700,1702252313732x762588033293516200,non
Le client suggère que l'évaluation de son expérience soit reportée après plusieurs missions pour obtenir un retour plus pertinent.,1702252286371x668595626157695100,1702252313732x762588033293516200,non
"Les clients sont insatisfaits de la sélection des intérimaires, en lien avec les candidats se sentant mal informés sur les postes avant l'entretien, menant à une inadéquation profil/poste.",1702252292076x775565084647336700,,oui
"Le client demande la création d'une fiche de poste formalisée pour le profil recherché, car il ne dispose pas de cette compétence en interne.",1702252293111x238913609200232640,1702252103696x231879594920525020,non
La clarté de la présentation est appréciée par les clients.,1702252302484x120368777528314430,1702251795709x628710337044019200,non
Une écoute jugée parfaite contribue positivement à l'expérience client.,1702252305128x893546205863880800,1702251795709x628710337044019200,non
Les réponses précises fournies aux stagiaires constituent un point fort du service.,1702252307737x512159879609090500,1702251795709x628710337044019200,non
"Les problèmes de ponctualité, d'engagement et de rotation du personnel chez les intérimaires génèrent des perturbations opérationnelles et de la frustration pour les clients.",1702252313732x762588033293516200,,oui
Les clients souhaitent être prévenus et convenir d'un rendez-vous plutôt que de subir des rencontres forcées et inopinées.,1702252316276x138007203069170350,1702252049041x107571055471345820,non
La plateforme Randstad est perçue comme difficile à utiliser.,1702252322620x689183450926688300,1702252436805x399850286662872800,non
Les rapports sur les candidats sont jugés très utiles par les utilisateurs.,1702252323923x822801300318691200,1702252356680x539182177249121200,non
Les intérimaires doivent ajuster leur volume vocal lorsqu'ils travaillent en open space pour ne pas déranger leurs collègues.,1702252329450x773717220265447000,1702252363115x692199679304415000,non
La prestation de l'intervenant répond aux attentes.,1702252347977x219226148323617540,1702252382471x620600853533459700,non
La relation avec Randstad est jugée professionnelle.,1702252349706x911595580095253400,1702252382471x620600853533459700,non
Proposer des jeux de rôles pour former les candidats à la recherche d'emploi.,1702252356203x903022617309097900,,non
Les utilisateurs perçoivent les rapports sur les candidats comme très utiles et expriment une satisfaction initiale avec la qualité des missions intérimaires.,1702252356680x539182177249121200,,oui
Fournir des modèles de CV et de lettres de motivation aux candidats.,1702252358177x876163167596855900,1702252103696x231879594920525020,non
Les clients ressentent que l'efficacité et l'adaptation comportementale des intérimaires aux conditions de travail sont insuffisantes.,1702252363115x692199679304415000,,oui
Les clients sont satisfaits de la fluidité du processus de recrutement.,1702252370038x996110050937415000,1702252404706x893472195468355700,non
L'équipe est perçue comme réactive et flexible dans ses démarches.,1702252371542x385913428845442400,1702252404706x893472195468355700,non
L'agent en charge est apprécié pour son agréabilité et son professionnalisme.,1702252373064x383978203225813440,1702251795709x628710337044019200,non
"Les clients apprécient la mise en place d'un standard téléphonique chez Randstad, bien qu'ils comprennent que des problèmes d'accès puissent être dus au fournisseur de réseau.",1702252379970x674181226566200800,1702251787742x986195353747684200,non
Les clients expriment une satisfaction globale élevée quant à la qualité et au professionnalisme des talents fournis par Randstad.,1702252382471x620600853533459700,,oui
Les horaires de début de mission n'ont pas été correctement communiqués à l'intérimaire.,1702252387586x397877648427716030,,non
"Le site internet est perçu comme peu intuitif, rendant l'expérience utilisateur compliquée.",1702252403916x265040038073522050,1702252436805x399850286662872800,non
"Les clients valorisent fortement la réactivité, l'écoute attentive et la compréhension rapide de leurs besoins par Randstad durant le processus de recrutement.",1702252404706x893472195468355700,,oui
Les utilisateurs éprouvent des difficultés avec le processus de déclaration des heures qui n'est pas clair et suggèrent la possibilité de déclarer les heures au mois plutôt qu'à la semaine.,1702252405391x688757583568909300,1702252438992x169278491846565080,non
Les clients sont confrontés à un problème de non-respect des quantités commandées en termes de personnel.,1702252410888x136834604643030880,,non
"Les clients souhaitent une communication régulière sur les actions menées par l'agence, même en l'absence de candidats potentiels.",1702252418898x891610255546688900,1702251684358x144572203376458500,non
"Les interactions avec le public étudiant ont été très appréciées, avec des échanges considérés comme de grande qualité.",1702252424372x952544572327839600,1702251795709x628710337044019200,non
"Les clients de Randstad expriment une expérience utilisateur insatisfaisante avec la plateforme en ligne, soulignant son manque d'intuitivité et d'ergonomie, ainsi que la complexité de gestion documentaire.",1702252436805x399850286662872800,,oui
Les clients demandent une simplification et une amélioration de l'accès et du processus de suivi des heures travaillées sur la plateforme Randstad.,1702252438992x169278491846565080,,oui
"Les clients rencontrent des difficultés pour échanger les documents comme les contrats, les relevés d'heures et les factures sur la plateforme.",1702252444459x302713339929371970,1702252436805x399850286662872800,non
"Les candidats abandonnent leur poste après la première journée, indiquant un problème potentiel de motivation ou de sélection des candidats.",1702252450235x397976821531366600,1702252313732x762588033293516200,non
Le client propose l'intégration de prise en charge des journées de formation dans l'accord cadre.,1702252463208x669069368732609000,1702252990790x251380906923327260,non
"Le client souffre des problèmes de ponctualité des intérimaires qui impactent significativement les opérations, en particulier lorsque les équipes parcourent de longues distances.",1702252469256x904939530236718100,1702252313732x762588033293516200,non
"Les clients apprécient l'agrément et la serviabilité de l'équipe Randstad, ainsi que son professionnalisme.",1702252483224x568126532943653600,1702251795709x628710337044019200,non
"Les clients expriment leur mécontentement face à l'absence de retours ou de feedbacks, et à la non prise en compte de leurs demandes.",1702252495769x146384286428548960,1702251684358x144572203376458500,non
Le client suggère de réduire l'usage des questionnaires et favoriser des échanges en direct plus fréquents sur site.,1702252505677x511706989105273660,1702252540582x933000455127282800,non
Les clients sont satisfaits du professionnalisme des personnes rencontrées lors des entretiens.,1702252510458x386148044159845500,1702251795709x628710337044019200,non
Les clients expriment leur satisfaction quant à la compréhension rapide de leurs besoins de recrutement exprimés à Randstad.,1702252515480x495615452069717800,1702251787742x986195353747684200,non
"Les clients apprécient l'amabilité, le professionnalisme et la rapidité de Randstad pour trouver des candidats.",1702252520927x700673363549317200,1702251795709x628710337044019200,non
Les clients éprouvent de la frustration en raison de l'absence totale de candidatures et de communication après la signature d'une offre commerciale.,1702252531114x535333453771775100,1702251951781x190649374199281860,non
"Les clients sont satisfaits de la réactivité de Randstad en répondant toujours en temps et en heure, peu importe l'agence contactée.",1702252537694x451955584294847940,1702252404706x893472195468355700,non
"Les clients désirent des interactions personnelles plus directes et accessibles, avec une communication simplifiée grâce à un point de contact dédié et des services continuellement disponibles.",1702252540582x933000455127282800,,oui
"Le client a eu une expérience positive lors d'une matinée de rencontre avec les candidats, soulignant une belle coopération.",1702252542513x953713237266983400,1702251787742x986195353747684200,non
"Les intérimaires semblent avoir des problèmes de distraction due à l'usage excessif des téléphones portables, ce qui nuit à leur implication et à leur performance au travail.",1702252573011x259151622960079870,1702251592643x358642939349547600,non
Le client souhaite recevoir davantage de propositions de profils pour le poste de porteur funéraire.,1702252580086x420335382771580540,1702252266394x212466413272064600,non
"Le client apprécie la qualité du service global, le trouvant très bien et agréable.",1702252594381x363193448401509400,1702251787742x986195353747684200,non
"Le client exprime un mécontentement vis-à-vis de l'organisation des rendez-vous, les trouvant problématiques lorsqu'ils sont planifiés simultanément.",1702252596440x109706154185407180,1702251653260x739912670275253900,non
"Les clients expriment des préoccupations concernant l'efficacité du personnel intérimaire, qui semble prendre trop de temps pour accomplir peu de travail.",1702252602248x559175530112230300,1702252363115x692199679304415000,non
Les clients rencontrent le problème d'un changement d'intérimaire sans être prévenus au préalable par téléphone ou par e-mail.,1702252606814x899295287168524000,1702251684358x144572203376458500,non
Le client exprime un problème dû à un nombre insuffisant de candidatures reçues malgré une bonne compréhension de la demande.,1702252615633x710285472403005000,1702251951781x190649374199281860,non
Le client exprime le besoin de disposer de cartes de visite en format papier pour pallier l'absence de téléphone portable professionnel.,1702252629969x280210512695399780,1702252540582x933000455127282800,non
Le client souhaite recevoir des informations sur les possibilités d'intégrer des intérimaires et demande un suivi assuré par l'entreprise.,1702252636534x298699763862585200,1702252672236x890675997750774800,non
Il est suggéré de créer un système de rappel pour l'enregistrement des heures des intérimaires.,1702252645737x155388241350705730,1702252438992x169278491846565080,non
La présence du personnel de l'agence de Molsheim est un aspect particulièrement positif pour les clients.,1702252665221x576698375818009100,1702251795709x628710337044019200,non
Le client est globalement satisfait de l'intégration des intérimaires et souhaite à la fois recevoir des informations sur de futures missions et bénéficier d'un suivi continu de la part de Randstad.,1702252672236x890675997750774800,,oui
Les clients estiment que les services sont trop chers par rapport à la concurrence sans offrir de valeur ajoutée supplémentaire.,1702252672845x159210339226447680,1702253667582x240092666822965250,non
Les clients sont reconnaissants pour la rapidité de la prise de rendez-vous.,1702252690989x289705459598551100,1702252213853x372447263724983200,non
Les clients sont satisfaits de la pertinence de la proposition qui leur a été faite.,1702252692913x753792928927437400,1702252213853x372447263724983200,non
"Les clients valorisent l'écoute et la réactivité des conseillers Randstad, ainsi que leur capacité à comprendre rapidement les besoins des clients.",1702252697404x171610257815799420,1702252404706x893472195468355700,non
Les clients sont satisfaits de l'intérimaire proposé et de la collaboration avec Randstad en général.,1702252703320x145076358745642940,1702252382471x620600853533459700,non
Il y a un taux de roulement élevé parmi les conseillers qui doit être réduit.,1702252710430x950949638936389900,1702252313732x762588033293516200,non
Les clients demandent au moins deux visites annuelles sur leur site de la part des conseillers.,1702252712192x539576939954203650,1702251715216x764075287805836300,non
Le client propose la prise de rendez-vous préalable plutôt que de pratiquer le porte-à-porte pour interagir avec eux.,1702252729690x664365736632873000,1702251715216x764075287805836300,non
Le client a renvoyé une serveuse pour non-respect de la tenue réglementaire et parce qu'elle ne semblait pas avoir les compétences requises pour le poste.,1702252749134x874012378790274400,,non
Les clients apprécient les rencontres personnelles pour discuter des progrès en matière de recrutement.,1702252756893x288865074827512600,1702251787742x986195353747684200,non
Les clients sont contrariés par des visites non sollicitées et sans rendez-vous fixé à l'avance par les consultants.,1702252772148x265614973408623300,1702252049041x107571055471345820,non
Les clients apprécient l'excellente qualité de service et l'écoute dont fait preuve l'équipe.,1702252787672x310555746559586940,1702251795709x628710337044019200,non
Nos clients apprécient la gestion attentive et la compréhension approfondie de leurs dossiers par nos employés.,1702252798841x372911488456632260,1702251795709x628710337044019200,non
Les clients sont satisfaits de la réactivité de Randstad pour la mise en place des missions.,1702252815836x364130631008745100,1702252404706x893472195468355700,non
Les clients apprécient la communication efficace lors du processus de recrutement.,1702252817734x936703081559140200,1702252404706x893472195468355700,non
Les clients expriment une haute satisfaction sans avoir de suggestions d'amélioration à proposer.,1702252824270x966703140448840800,1702252382471x620600853533459700,non
"Les clients trouvent les échanges avec Randstad toujours agréables, même lorsqu'ils n'ont pas de besoins en recrutement immédiats.",1702252829727x349633583175770200,1702251795709x628710337044019200,non
Les clients expriment un problème lié à l'absence de candidatures reçues pour leurs demandes de postes.,1702252838689x288388113395455100,1702251951781x190649374199281860,non
